oldid,city,country,latitude,longitude,name,store_id
7447,Laveen,US,33.37629699707031,-112.16630554199219,Safeway - Phoenix #2709,10612
7466,Mesa,US,33.450897216796875,-111.7348861694336,"Greenfield & McKellips, Mesa",10638
7483,Phoenix,US,33.553916931152344,-112.13213348388672,Safeway - Phoenix #257,10660
7494,Goodyear,US,33.45893859863281,-112.39546203613281,SuperTarget Goodyear West ST-2400,10672
7552,Phoenix,US,33.63876724243164,-112.29199981689453,Safeway-Phoenix #236,10731
7574,Mesa,US,33.4090576171875,-111.68511962890625,"Power & Broadway, Mesa",10759
7575,Phoenix,US,33.378971099853516,-112.10176849365234,"19th Ave. & Baseline, Phoenix",10760
7585,Phoenix,US,33.453529357910156,-112.0727310180664,Aramark - ASU Taylor Place,10771
7586,Scottsdale,US,33.53519058227539,-111.96411895751953,Camelback Inn-Scottsdale,10772
7695,Phoenix,US,33.48005676269531,-112.0133056640625,"32nd St. & Thomas, Phoenix",10896
7698,Scottsdale,US,33.58240509033203,-111.92800903320312,"71st St. & Shea, Scottsdale",10899
7733,Glendale,US,33.63920593261719,-112.15318298339844,Fry's - Glendale #625,10937
7738,Surprise,US,33.62245559692383,-112.42691040039062,Fry's #680 Surprise,10942
7770,Gilbert,US,33.33440017700195,-111.74639892578125,Macy's - San Tan Village,10984
7855,Chandler,US,33.34834671020508,-111.85853576660156,"Alma School & Elliot Rd, Chandler",11086
7926,Phoenix,US,33.610477447509766,-112.14750671386719,"43rd Avenue & Thunderbird, Phoenix",11189
8033,Phoenix,US,33.6415901184082,-112.06708526611328,Safeway-Phoenix #413,11332
8047,Gilbert,US,33.34889221191406,-111.75680541992188,Safeway-Gilbert #1534,11359
8054,Mesa,US,33.39201736450195,-111.8647232055664,Target Mesa T-1429,11367
8060,Fountain Hills,US,33.60966873168945,-111.72832489013672,Safeway - Fountain Hills #1291,11373
8135,Mesa,US,33.46708297729492,-111.68452453613281,"Power & McDowell, Mesa",11484
8156,Glendale,US,33.65203857421875,-112.2335205078125,101 Freeway & Union Hills Drive,11511
8195,Tempe,US,33.425628662109375,-111.94014739990234,Mill Ave and 5th Street,11573
8324,Glendale,US,33.61116409301758,-112.18527221679688,59th Avenue & Thunderbird,11752
8328,Glendale,US,33.671722412109375,-112.20240783691406,67th Avenue & Beardsley,11756
8335,Scottsdale,US,33.58682632446289,-111.83772277832031,Safeway-Scottsdale #1126,11763
8339,Mesa,US,33.3813362121582,-111.78714752197266,Baseline & Gilbert,11769
8341,Phoenix,US,33.583412170410156,-111.97647094726562,Tatum & Shea,11771
8381,Gilbert,US,33.33449935913086,-111.75830078125,"Val Vista & Warner, Gilbert",11823
8392,Tempe,US,33.42213439941406,-111.93416595458984,Aramark ASU Palo Verde East,11842
8393,Scottsdale,US,33.62668991088867,-111.88883972167969,Target North Scottsdale T-936,11843
8493,Scottsdale,US,33.580711364746094,-111.88185119628906,92nd Street & Shea,11989
8612,Phoenix,US,33.61018753051758,-111.97734069824219,Tatum & Thunderbird,12155
8648,Scottsdale,US,33.61958694458008,-111.87529754638672,Safeway-Scottsdale #1549,12200
8656,Gilbert,US,33.27862548828125,-111.78578186035156,Super Target Gilbert ST-1960,12213
8660,Phoenix,US,33.67864990234375,-111.9749526977539,Albertsons-Phoenix #1025,12219
8812,Phoenix,US,33.62398910522461,-111.92639923095703,"Scottsdale & Kierland, Phoenix",12430
8817,Tempe,US,33.34831619262695,-111.91310119628906,Safeway-Tempe #1535,12439
8840,Scottsdale,US,33.77996826171875,-111.92312622070312,Scottsdale & Ashler Hills,12463
8844,Phoenix,US,33.63898849487305,-112.07042694091797,"3rd Street & Bell Rd, Phoenix",12468
9030,Chandler,US,33.33548355102539,-111.87779235839844,"Dobson & Warner, Chandler",12696
9074,Glendale,US,33.66865539550781,-112.2027359008789,Safeway-Glendale #1510,12750
